driver_id,age,experience_years,avg_speed,harsh_braking,sudden_acceleration,mobile_usage_minutes,night_driving_hours,fatigue_score,traffic_violations,seatbelt_compliance,weather_risk,weekly_driving_hours,accident_history,driver_risk
100001,42,23,63.83,1,1,64.84,3.37,4.5,0.0,,2.0,53.59,0,Safe
100002,28,9,72.63,5,1,23.14,0.0,3.09,1.0,0.889,4.0,62.82,0,Moderate Risk
100003,47,30,43.33,1,1,18.26,2.59,4.72,0.0,0.909,3.0,61.99,1,Safe
100004,49,27,56.34,2,2,39.08,1.32,3.71,0.0,0.749,1.0,45.45,0,Safe
100005,18,0,69.6,2,2,22.04,3.49,3.57,0.0,0.914,3.0,43.77,1,High Risk
100006,25,12,59.9,4,2,15.15,2.89,0.96,1.0,0.952,5.0,44.61,0,Safe
100007,40,27,77.24,4,1,22.31,2.49,4.41,1.0,1.0,4.0,37.29,0,Safe
100008,36,15,40.99,1,0,36.89,5.22,2.72,0.0,0.825,4.0,29.79,0,Moderate Risk
100009,39,22,32.1,0,0,23.59,2.79,3.25,0.0,0.932,5.0,45.82,0,Safe
100010,30,9,64.08,2,1,23.2,3.11,2.79,0.0,0.929,3.0,38.66,0,Safe
100011,49,26,64.27,7,2,30.54,3.87,1.83,1.0,0.817,1.0,53.79,0,Moderate Risk
100012,48,33,60.11,4,2,14.76,1.2,2.89,1.0,0.896,2.0,16.69,0,Safe
100013,40,26,69.42,1,2,25.4,2.49,3.23,0.0,0.832,1.0,41.64,0,Safe
100014,51,25,58.27,2,3,10.67,0.76,3.66,0.0,0.861,3.0,58.01,1,Safe
100015,44,23,54.49,1,4,30.1,,4.95,1.0,0.876,2.0,49.98,0,High Risk
100016,30,12,49.86,2,2,42.8,3.87,5.01,1.0,0.825,4.0,28.84,0,High Risk
100017,43,27,64.33,1,2,48.86,6.55,5.69,0.0,0.876,1.0,28.23,0,Moderate Risk
100018,28,10,70.87,5,0,39.28,0.76,4.18,0.0,0.924,1.0,39.65,0,Safe
100019,49,34,49.77,1,0,31.45,4.65,5.62,0.0,0.954,5.0,54.9,0,Moderate Risk
100020,38,15,56.46,2,3,24.5,,3.64,0.0,0.963,4.0,47.5,0,Moderate Risk
100021,37,20,49.62,0,0,34.55,1.55,3.99,1.0,0.878,2.0,43.79,0,Safe
100022,32,8,62.59,3,2,27.0,0.0,3.04,0.0,0.861,1.0,47.46,0,Safe
100023,52,34,59.96,5,4,12.4,3.12,3.86,0.0,0.856,2.0,48.57,0,Safe
100024,37,21,50.59,0,5,42.52,3.67,5.14,2.0,0.933,2.0,49.81,0,Safe
100025,34,16,75.61,2,3,12.02,2.81,4.09,0.0,0.994,4.0,52.77,1,Moderate Risk
100026,35,26,51.27,1,3,19.11,0.0,2.67,1.0,1.0,3.0,38.38,0,Safe
100027,45,26,52.11,1,1,16.65,2.15,5.58,,0.951,3.0,33.09,0,Safe
100028,43,24,34.56,2,2,24.89,3.34,5.71,1.0,0.881,4.0,52.03,0,Safe
100029,44,21,47.87,2,1,36.9,1.66,2.84,1.0,0.818,2.0,36.49,0,Safe
100030,44,32,65.01,3,1,31.1,2.95,3.67,1.0,,1.0,21.68,1,Moderate Risk
100031,63,39,54.01,1,2,9.55,4.84,5.89,1.0,0.813,5.0,63.71,0,Safe
100032,35,12,62.07,5,0,15.81,2.5,2.48,0.0,0.988,3.0,43.69,0,Safe
100033,33,8,56.63,1,1,35.48,1.75,2.45,0.0,0.91,1.0,42.27,0,Safe
100034,30,10,80.58,0,2,71.14,3.4,8.08,2.0,0.993,4.0,37.98,0,High Risk
100035,46,22,53.81,2,2,18.7,6.27,4.03,2.0,,2.0,52.89,0,Safe
100036,51,37,33.82,0,1,11.57,3.86,1.26,1.0,0.95,3.0,30.74,1,Safe
100037,38,15,48.21,4,1,21.55,0.82,2.27,0.0,0.937,2.0,41.34,1,Safe
